0.507296111,4,0.057,2.0016
0.115924342,4,0.057,2.0016
0.773866025,4,0.057,2.0016
0.26182447,4,0.057,2.0016
0.206975478,4,0.057,2.0016
0.17422728,4,0.057,2.0016
0.299778766,4,0.057,2.0016
6.39096993,3,4,1.5
1.585683302,3,1.5,0.375
0.525801013,1,14,6
0.823344546,1,12,12
1.9901763,3,2,0.75
0.81747649,1,12,12
0.41657213,1,5.056,5.056
0.328120657,1,5.056,5.056
0.256983582,1,5.056,5.056
1.648013816,3,1.25,0.125
1.716973947,3,1.5,0.25
0.940087601,1,13.31,4.438
0.100533321,3,0.125,0.05
0.114837688,3,0.125,0.05
0.803083941,2,39.06,0.016
0.158724808,2,6.25,0.04
-0.675324309,3,0,2
0.424879107,3,0.4,0.1
0.077798067,3,0.3,0.05
0.99678158,1,2.625,2.625
0.924156509,1,2.625,2.625
0.998211181,1,2.625,2.625
0.942141496,1,2.625,2.625
0.154413809,1,2.625,2.625
0.622748045,1,2.625,2.625
0.661305474,1,2.625,2.625
0.039463661,5,0,0.05
0.049993266,5,0,0.05
0.547669458,5,0,1
