2.27E-10,-2.51E-11,-8.01E-12,-7.62E-11,2.25E-09,1.56E-09,7.37E-10,2.28E-09,-1.18E-10,2.86E-09,2.74E-12,-9.19E-09,1.46E-09,0.00E+00,0.00E+00,0.00E+00
-2.51E-11,2.78E-12,8.87E-13,8.49E-12,-2.49E-10,-1.73E-10,-8.12E-11,-2.52E-10,1.31E-11,-3.16E-10,-3.36E-13,1.02E-09,-1.62E-10,0.00E+00,0.00E+00,0.00E+00
-8.01E-12,8.87E-13,2.87E-13,2.76E-12,-7.92E-11,-5.54E-11,-2.56E-11,-8.03E-11,4.19E-12,-1.01E-10,-1.07E-13,3.25E-10,-5.21E-11,0.00E+00,0.00E+00,0.00E+00
-7.62E-11,8.49E-12,2.76E-12,3.52E-11,-7.47E-10,-5.31E-10,-2.13E-10,-7.65E-10,4.00E-11,-9.60E-10,-1.52E-12,3.15E-09,-5.07E-10,0.00E+00,0.00E+00,0.00E+00
2.25E-09,-2.49E-10,-7.92E-11,-7.47E-10,2.25E-08,1.55E-08,7.38E-09,2.26E-08,-1.17E-09,2.83E-08,3.39E-11,-9.12E-08,1.44E-08,0.00E+00,0.00E+00,0.00E+00
1.56E-09,-1.73E-10,-5.54E-11,-5.31E-10,1.55E-08,1.08E-08,5.03E-09,1.57E-08,-8.14E-10,1.96E-08,1.97E-11,-6.33E-08,1.01E-08,0.00E+00,0.00E+00,0.00E+00
7.37E-10,-8.12E-11,-2.56E-11,-2.13E-10,7.38E-09,5.03E-09,2.59E-09,7.35E-09,-3.79E-10,9.25E-09,7.43E-12,-2.94E-08,4.64E-09,0.00E+00,0.00E+00,0.00E+00
2.28E-09,-2.52E-10,-8.03E-11,-7.65E-10,2.26E-08,1.57E-08,7.35E-09,2.29E-08,-1.19E-09,2.86E-08,3.44E-11,-9.24E-08,1.47E-08,0.00E+00,0.00E+00,0.00E+00
-1.18E-10,1.31E-11,4.19E-12,4.00E-11,-1.17E-09,-8.14E-10,-3.79E-10,-1.19E-09,6.19E-11,-1.49E-09,-1.91E-12,4.79E-09,-7.67E-10,0.00E+00,0.00E+00,0.00E+00
2.86E-09,-3.16E-10,-1.01E-10,-9.60E-10,2.83E-08,1.96E-08,9.25E-09,2.86E-08,-1.49E-09,3.59E-08,3.57E-11,-1.16E-07,1.84E-08,0.00E+00,0.00E+00,0.00E+00
2.74E-12,-3.36E-13,-1.07E-13,-1.52E-12,3.39E-11,1.97E-11,7.43E-12,3.44E-11,-1.91E-12,3.57E-11,2.35E-11,-1.42E-10,2.56E-11,0.00E+00,0.00E+00,0.00E+00
-9.19E-09,1.02E-09,3.25E-10,3.15E-09,-9.12E-08,-6.33E-08,-2.94E-08,-9.24E-08,4.79E-09,-1.16E-07,-1.42E-10,3.74591E-07,-5.95E-08,0.00E+00,0.00E+00,0.00E+00
1.46E-09,-1.62E-10,-5.21E-11,-5.07E-10,1.44E-08,1.01E-08,4.64E-09,1.47E-08,-7.67E-10,1.84E-08,2.56E-11,-5.95E-08,9.55E-09,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00003,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00003,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0001
